id,title,rating,uri,年份,地区,类型,主演
36171173,杀人者报告,7.1,douban://douban.com/movie/36171173,2025,韩国,犯罪,曹英俊
36910970,奇迹梦之队,6.8,douban://douban.com/movie/36910970,2026,美国 加拿大,喜剧,泰里·迪利海 亚当·罗塞特
36910970,奇迹梦之队,6.8,douban://douban.com/movie/36910970,2026,美国 加拿大,动画,泰里·迪利海 亚当·罗塞特
36910970,奇迹梦之队,6.8,douban://douban.com/movie/36910970,2026,美国 加拿大,冒险,泰里·迪利海 亚当·罗塞特
36910970,奇迹梦之队,6.8,douban://douban.com/movie/36910970,2026,美国 加拿大,运动,泰里·迪利海 亚当·罗塞特
35900174,侵略机器,6.3,douban://douban.com/movie/35900174,2026,英国 澳大利亚 新西兰 美国,动作,帕特里克·休斯
35900174,侵略机器,6.3,douban://douban.com/movie/35900174,2026,英国 澳大利亚 新西兰 美国,科幻,帕特里克·休斯
35900174,侵略机器,6.3,douban://douban.com/movie/35900174,2026,英国 澳大利亚 新西兰 美国,惊悚,帕特里克·休斯
36907263,百米。,7.9,douban://douban.com/movie/36907263,2025,日本,剧情,岩井泽健治
36907263,百米。,7.9,douban://douban.com/movie/36907263,2025,日本,动画,岩井泽健治
36907263,百米。,7.9,douban://douban.com/movie/36907263,2025,日本,运动,岩井泽健治
36107332,左撇子女孩,7.1,douban://douban.com/movie/36107332,2025,中国台湾 美国 英国 法国,剧情,邹时擎
36877245,火遮眼,8.9,douban://douban.com/movie/36877245,2025,中国香港,动作,谷垣健治
36877245,火遮眼,8.9,douban://douban.com/movie/36877245,2025,中国香港,惊悚,谷垣健治
36247731,新·驯龙高手,8.3,douban://douban.com/movie/36247731,2025,美国,剧情,迪恩·戴布洛伊
36247731,新·驯龙高手,8.3,douban://douban.com/movie/36247731,2025,美国,喜剧,迪恩·戴布洛伊
36247731,新·驯龙高手,8.3,douban://douban.com/movie/36247731,2025,美国,动作,迪恩·戴布洛伊
36247731,新·驯龙高手,8.3,douban://douban.com/movie/36247731,2025,美国,奇幻,迪恩·戴布洛伊
36247731,新·驯龙高手,8.3,douban://douban.com/movie/36247731,2025,美国,冒险,迪恩·戴布洛伊
37193871,执笔,7.0,douban://douban.com/movie/37193871,2025,法国,剧情,薇拉莉·邓泽里
37193871,执笔,7.0,douban://douban.com/movie/37193871,2025,法国,传记,薇拉莉·邓泽里
35322123,去死吧，我的爱,6.0,douban://douban.com/movie/35322123,2025,英国 美国 加拿大,剧情,琳恩·拉姆塞
35322123,去死吧，我的爱,6.0,douban://douban.com/movie/35322123,2025,英国 美国 加拿大,惊悚,琳恩·拉姆塞
37045933,无名之町,5.7,douban://douban.com/movie/37045933,2025,日本,剧情,田中亮
37045933,无名之町,5.7,douban://douban.com/movie/37045933,2025,日本,犯罪,田中亮
36876356,复活她,6.7,douban://douban.com/movie/36876356,2025,澳大利亚 美国,悬疑,丹尼·菲利普 迈克尔·菲利普
36876356,复活她,6.7,douban://douban.com/movie/36876356,2025,澳大利亚 美国,恐怖,丹尼·菲利普 迈克尔·菲利普
37242440,惊蛰无声,6.0,douban://douban.com/movie/37242440,2026,中国大陆,剧情,张艺谋
37242440,惊蛰无声,6.0,douban://douban.com/movie/37242440,2026,中国大陆,犯罪,张艺谋
36742578,新浪潮,7.0,douban://douban.com/movie/36742578,2025,法国 美国,剧情,理查德·林克莱特
36742578,新浪潮,7.0,douban://douban.com/movie/36742578,2025,法国 美国,喜剧,理查德·林克莱特
36742578,新浪潮,7.0,douban://douban.com/movie/36742578,2025,法国 美国,传记,理查德·林克莱特
36742578,新浪潮,7.0,douban://douban.com/movie/36742578,2025,法国 美国,历史,理查德·林克莱特
36635632,父母姐弟,6.5,douban://douban.com/movie/36635632,2025,美国 英国 意大利 法国 爱尔兰 德国,剧情,吉姆·贾木许
36635632,父母姐弟,6.5,douban://douban.com/movie/36635632,2025,美国 英国 意大利 法国 爱尔兰 德国,喜剧,吉姆·贾木许
36948291,女孩们,7.5,douban://douban.com/movie/36948291,2025,荷兰 奥地利 比利时,剧情,迈克·范·迪姆
36948291,女孩们,7.5,douban://douban.com/movie/36948291,2025,荷兰 奥地利 比利时,惊悚,迈克·范·迪姆
36809864,南京照相馆,8.8,douban://douban.com/movie/36809864,2025,中国大陆,剧情,申奥
36809864,南京照相馆,8.8,douban://douban.com/movie/36809864,2025,中国大陆,历史,申奥
36809864,南京照相馆,8.8,douban://douban.com/movie/36809864,2025,中国大陆,战争,申奥
36968879,夏日躁动,7.9,douban://douban.com/movie/36968879,2025,法国,剧情,丽丝·阿科卡 罗曼·格雷特
36968879,夏日躁动,7.9,douban://douban.com/movie/36968879,2025,法国,喜剧,丽丝·阿科卡 罗曼·格雷特
36689647,遇见世界,7.6,douban://douban.com/movie/36689647,2025,日本,剧情,松居大悟
36892468,庇护之地,5.9,douban://douban.com/movie/36892468,2026,英国 美国 加拿大,动作,里克·罗曼·沃夫
36892468,庇护之地,5.9,douban://douban.com/movie/36892468,2026,英国 美国 加拿大,惊悚,里克·罗曼·沃夫
36893213,灵雀密语,7.4,douban://douban.com/movie/36893213,2025,法国 比利时,动画,安东尼·兰席奥
36893213,灵雀密语,7.4,douban://douban.com/movie/36893213,2025,法国 比利时,家庭,安东尼·兰席奥
36893213,灵雀密语,7.4,douban://douban.com/movie/36893213,2025,法国 比利时,冒险,安东尼·兰席奥
36833084,玫瑰,7.4,douban://douban.com/movie/36833084,2025,英国 澳大利亚 美国,剧情,杰伊·罗奇
36833084,玫瑰,7.4,douban://douban.com/movie/36833084,2025,英国 澳大利亚 美国,喜剧,杰伊·罗奇
35391124,K-POP：猎魔女团,6.4,douban://douban.com/movie/35391124,2025,美国 加拿大,喜剧,克里斯·艾伯翰斯 玛吉·康
35391124,K-POP：猎魔女团,6.4,douban://douban.com/movie/35391124,2025,美国 加拿大,动作,克里斯·艾伯翰斯 玛吉·康
35391124,K-POP：猎魔女团,6.4,douban://douban.com/movie/35391124,2025,美国 加拿大,动画,克里斯·艾伯翰斯 玛吉·康
35391124,K-POP：猎魔女团,6.4,douban://douban.com/movie/35391124,2025,美国 加拿大,音乐,克里斯·艾伯翰斯 玛吉·康
