id,title,rating,uri,card_subtitle
37825206,超时空辉夜姬！,8.3,douban://douban.com/movie/37825206,2026 / 日本 / 剧情 科幻 动画 音乐 奇幻 / 山下清悟 / 夏吉优子 永濑安奈
36245712,三级警戒,7.9,douban://douban.com/movie/36245712,2025 / 美国 / 喜剧 动作 / 克里斯托弗·莱昂内 / 雷恩·威尔森 里尔·莱尔·哈瓦瑞
36503073,暗黑新娘！,6.4,douban://douban.com/movie/36503073,2026 / 法国 美国 / 剧情 惊悚 犯罪 / 玛吉·吉伦哈尔 / 杰西·巴克利 克里斯蒂安·贝尔
36838688,人工情报,6.4,douban://douban.com/movie/36838688,2026 / 韩国 / 剧情 动作 / 柳昇完 / 赵寅成 朴正民
37143216,恩典,7.5,douban://douban.com/movie/37143216,2025 / 意大利 / 剧情 / 保罗·索伦蒂诺 / 托尼·塞尔维洛 安娜·费泽蒂
36600459,捕风追影,8.1,douban://douban.com/movie/36600459,2025 / 中国大陆 中国香港 / 剧情 动作 犯罪 / 杨子 / 成龙 张子枫
37250117,暗流低语,5.7,douban://douban.com/movie/37250117,2025 / 加拿大 / 科幻 惊悚 恐怖 / 伊恩·图阿松 / 尼娜·凯莉 亚当·迪马科
36448279,罗小黑战记2,8.7,douban://douban.com/movie/36448279,2025 / 中国大陆 / 动画 奇幻 冒险 / 木头 顾杰 / 山新 刘明月
36913048,远山淡影,7.0,douban://douban.com/movie/36913048,2025 / 日本 英国 波兰 / 剧情 悬疑 / 石川庆 / 广濑铃 二阶堂富美
36964147,日掛中天,7.1,douban://douban.com/movie/36964147,2025 / 中国大陆 / 剧情 / 蔡尚君 / 辛芷蕾 张颂文
35881440,唐顿庄园3,8.6,douban://douban.com/movie/35881440,2025 / 英国 美国 / 剧情 / 西蒙·柯蒂斯 / 米歇尔·道克瑞 休·博纳维尔
37322586,生日快乐,8.8,douban://douban.com/movie/37322586,2025 / 埃及 / 剧情 / 萨拉·戈赫尔 / 内莉·卡里姆 Hanan Motawie
36777886,团战之夜,6.7,douban://douban.com/movie/36777886,2025 / 德国 美国 / 剧情 喜剧 科幻 / 戈尔·维宾斯基 / 山姆·洛克威尔 史蒂夫·马克
35182657,母鸡,7.7,douban://douban.com/movie/35182657,2025 / 德国 希腊 匈牙利 / 剧情 家庭 / 乔治·巴勒菲 / 雅尼斯·科基亚斯梅诺斯 玛丽亚·迪亚科帕纳约图
36438475,浪浪山小妖怪,8.5,douban://douban.com/movie/36438475,2025 / 中国大陆 / 剧情 喜剧 动画 奇幻 / 於水 / 陈子平 路扬
36185502,长安的荔枝,7.5,douban://douban.com/movie/36185502,2025 / 中国大陆 / 剧情 喜剧 古装 / 大鹏 / 大鹏 白客
36085606,好孩子,8.1,douban://douban.com/movie/36085606,2025 / 新加坡 / 剧情 同性 / 王国燊 / 许瑞奇 洪慧芳
